Source,Target,Weight,Emiten,Position,Company
  ,APEXINDO PRATAMA DUTA TBK.,5,APEX,  ,APEXINDO PRATAMA DUTA TBK.
 DONALD KENT WOOD ,APEXINDO PRATAMA DUTA TBK.,5,APEX, DIRECTOR ,APEXINDO PRATAMA DUTA TBK.
 MAHAR ATANTA SEMBIRING ,APEXINDO PRATAMA DUTA TBK.,5,APEX, DIRECTOR ,APEXINDO PRATAMA DUTA TBK.
 SOFWAN FARISYI ,APEXINDO PRATAMA DUTA TBK.,5,APEX, DIRECTOR ,APEXINDO PRATAMA DUTA TBK.
 JON ADIJAYA ,PACIFIC STRATEGIC FINANCIAL TBK.,5,APIC, PRESIDENT DIRECTOR ,PACIFIC STRATEGIC FINANCIAL TBK.
 WIYANA ,PACIFIC STRATEGIC FINANCIAL TBK.,5,APIC, DIRECTOR ,PACIFIC STRATEGIC FINANCIAL TBK.
 HARIANTO ,ARITA PRIMA INDONESIA TBK.,5,APII, DIRECTOR ,ARITA PRIMA INDONESIA TBK.
 LOW YEW LEAN ,ARITA PRIMA INDONESIA TBK.,5,APII, PRESIDENT DIRECTOR ,ARITA PRIMA INDONESIA TBK.
 CHAN CHEIN LIANG ,ARITA PRIMA INDONESIA TBK.,5,APII, DIRECTOR ,ARITA PRIMA INDONESIA TBK.
 LOW ZE WEN ,ARITA PRIMA INDONESIA TBK.,5,APII, DIRECTOR ,ARITA PRIMA INDONESIA TBK.
 WILSON AGUNG PRANOTO ,ASIAPLAST INDUSTRIES TBK.,5,APLI, PRESIDENT DIRECTOR ,ASIAPLAST INDUSTRIES TBK.
 ALBERT SUGIANTO ,ASIAPLAST INDUSTRIES TBK.,5,APLI, DIRECTOR ,ASIAPLAST INDUSTRIES TBK.
 IR. ALI PRANATA ,ASIAPLAST INDUSTRIES TBK.,5,APLI, DIRECTOR ,ASIAPLAST INDUSTRIES TBK.
 GIMAN ,ASIAPLAST INDUSTRIES TBK.,5,APLI, DIRECTOR ,ASIAPLAST INDUSTRIES TBK.
 BACELIUS RURU ,AGUNG PODOMORO LAND TBK.,5,APLN, PRESIDENT DIRECTOR ,AGUNG PODOMORO LAND TBK.
 NOER INDRADJAJA ,AGUNG PODOMORO LAND TBK.,5,APLN, VICE PRESIDENT ,AGUNG PODOMORO LAND TBK.
 CESAR MANIKAN DELA CRUZ ,AGUNG PODOMORO LAND TBK.,5,APLN, DIRECTOR ,AGUNG PODOMORO LAND TBK.
 MIARNI ANG ,AGUNG PODOMORO LAND TBK.,5,APLN, DIRECTOR ,AGUNG PODOMORO LAND TBK.
 PAUL CHRISTIAN ARIYANTO ,AGUNG PODOMORO LAND TBK.,5,APLN, DIRECTOR ,AGUNG PODOMORO LAND TBK.
 RUDY SUHENDRA ,ARCHI INDONESIA TBK.,5,ARCI, PRESIDENT DIRECTOR ,ARCHI INDONESIA TBK.
 CHRISTIAN EMANUEL DAVID SOMPIE ,ARCHI INDONESIA TBK.,5,ARCI, DIRECTOR ,ARCHI INDONESIA TBK.
 HIDAYAT DWIPUTRO SULAKSONO ,ARCHI INDONESIA TBK.,5,ARCI, DIRECTOR ,ARCHI INDONESIA TBK.
 MICHAEL KURNIA WIRAWAN ALIFEN ,DUNIA VIRTUAL ONLINE TBK.,5,AREA, PRESIDENT DIRECTOR ,DUNIA VIRTUAL ONLINE TBK.
 EDI ,DUNIA VIRTUAL ONLINE TBK.,5,AREA, DIRECTOR ,DUNIA VIRTUAL ONLINE TBK.
 YOKE TANGKAR ,DUNIA VIRTUAL ONLINE TBK.,5,AREA, DIRECTOR ,DUNIA VIRTUAL ONLINE TBK.
 THOMAS WAHYU KALAIJ ,ARGO PANTES TBK,5,ARGO, PRESIDENT DIRECTOR ,ARGO PANTES TBK
 WIDARSONO ,ARGO PANTES TBK,5,ARGO, DIRECTOR ,ARGO PANTES TBK
 DJOENAEDY WIDJAJA ,ARGO PANTES TBK,5,ARGO, DIRECTOR ,ARGO PANTES TBK
 HUMPREY ,ARGO PANTES TBK,5,ARGO, DIRECTOR ,ARGO PANTES TBK
 ABDI ANDRE ,ATLAS RESOURCES TBK.,5,ARII, PRESIDENT DIRECTOR ,ATLAS RESOURCES TBK.
 HANS JURGEN KASCHULL ,ATLAS RESOURCES TBK.,5,ARII, VICE PRESIDEN DIRECTOR ,ATLAS RESOURCES TBK.
 JOKO KUS SULISTYOKO ,ATLAS RESOURCES TBK.,5,ARII, DIRECTOR ,ATLAS RESOURCES TBK.
  ,ARKHA JAYANTI PERSADA TBK.,5,ARKA, PRESIDENT DIRECTOR ,ARKHA JAYANTI PERSADA TBK.
  ,ARKHA JAYANTI PERSADA TBK.,5,ARKA, DIRECTOR ,ARKHA JAYANTI PERSADA TBK.
  ,ARKHA JAYANTI PERSADA TBK.,5,ARKA, PRESIDENT DIRECTOR ,ARKHA JAYANTI PERSADA TBK.
  ,ARKHA JAYANTI PERSADA TBK.,5,ARKA, DIRECTOR ,ARKHA JAYANTI PERSADA TBK.
 ALDO HENRY ARTOKO ,ARKORA HYDRO TBK.,5,ARKO, PRESIDENT DIRECTOR ,ARKORA HYDRO TBK.
 RICKY HARTONO ,ARKORA HYDRO TBK.,5,ARKO, DIRECTOR ,ARKORA HYDRO TBK.
 IR. ISMU NUGROHO ,ARKORA HYDRO TBK.,5,ARKO, DIRECTOR ,ARKORA HYDRO TBK.
 BOY GEMINO KALAUSERANG ,ARKORA HYDRO TBK.,5,ARKO, DIRECTOR ,ARKORA HYDRO TBK.
 FIRDAUS ,ARMIDIAN KARYATAMA TBK.,5,ARMY, PRESIDENT DIRECTOR ,ARMIDIAN KARYATAMA TBK.
 MECO SITARDJA ,ARMIDIAN KARYATAMA TBK.,5,ARMY, DIRECTOR ,ARMIDIAN KARYATAMA TBK.
 IKMAN MAULANA ,ARMIDIAN KARYATAMA TBK.,5,ARMY, DIRECTOR ,ARMIDIAN KARYATAMA TBK.
" TANDEAN RUSTANDY, M.B.A. ",ARWANA CITRAMULIA TBK.,5,ARNA, PRESIDENT DIRECTOR ,ARWANA CITRAMULIA TBK.
 EDY SUYANTO. S.E. ,ARWANA CITRAMULIA TBK.,5,ARNA, DIRECTOR ,ARWANA CITRAMULIA TBK.
" GEORGE ELNADUS SUPIT, S.SOS. ",ARWANA CITRAMULIA TBK.,5,ARNA, DIRECTOR ,ARWANA CITRAMULIA TBK.
 CHAN SHIH MEI ,ARTHAVEST TBK,5,ARTA, DIRECTOR ,ARTHAVEST TBK
 TSUN TIEN WEN LIE ,ARTHAVEST TBK,5,ARTA, DIRECTOR ,ARTHAVEST TBK
 YEREMY VINCENTIUS ,ARTHAVEST TBK,5,ARTA, PRESIDENT DIRECTOR ,ARTHAVEST TBK
 B. BUR MARAS ,RATU PRABU ENERGI TBK,5,ARTI, PRESIDENT DIRECTOR ,RATU PRABU ENERGI TBK
 GEMILANG ZAHARIN ,RATU PRABU ENERGI TBK,5,ARTI, DIRECTOR ,RATU PRABU ENERGI TBK
 GLENN BOYD LAPIAN ,RATU PRABU ENERGI TBK,5,ARTI, DIRECTOR ,RATU PRABU ENERGI TBK
 TJIT SIAT FUN ,BANK JAGO TBK.,5,ARTO, DIRECTOR ,BANK JAGO TBK.
 UMAKANTH RAMA PAI ,BANK JAGO TBK.,5,ARTO, DIRECTOR ,BANK JAGO TBK.
 ARIEF HARRIS TANDJUNG ,BANK JAGO TBK.,5,ARTO, PRESIDENT DIRECTOR ,BANK JAGO TBK.
 SONNY CHRISTIAN JOSEPH ,BANK JAGO TBK.,5,ARTO, DIRECTOR ,BANK JAGO TBK.
 SUPRANOTO PRAJOGO ,BANK JAGO TBK.,5,ARTO, DIRECTOR ,BANK JAGO TBK.
 HASTANTO SRI MARGI WIDODO ,ASURANSI BINTANG TBK.,5,ASBI, PRESIDENT DIRECTOR ,ASURANSI BINTANG TBK.
 RENIWATI DARMAKUSUMAH ,ASURANSI BINTANG TBK.,5,ASBI, DIRECTOR ,ASURANSI BINTANG TBK.
 JENRY CARDO MANURUNG ,ASURANSI BINTANG TBK.,5,ASBI, DIRECTOR ,ASURANSI BINTANG TBK.
 ZAFAR DINESH IDHAM ,ASURANSI BINTANG TBK.,5,ASBI, DIRECTOR ,ASURANSI BINTANG TBK.
 DEWI MANDRAWAN ,ASURANSI DAYIN MITRA TBK.,5,ASDM, PRESIDENT DIRECTOR ,ASURANSI DAYIN MITRA TBK.
 PURNAMA HADIWIDJAJA ,ASURANSI DAYIN MITRA TBK.,5,ASDM, DIRECTOR ,ASURANSI DAYIN MITRA TBK.
 VICTOR MARIA S. SANDJAJA ,ASURANSI DAYIN MITRA TBK.,5,ASDM, DIRECTOR ,ASURANSI DAYIN MITRA TBK.
 ROSA DJUNAIDI ,ASURANSI DAYIN MITRA TBK.,5,ASDM, DIRECTOR ,ASURANSI DAYIN MITRA TBK.
 HENDRIX PRAMANA ,ASTRA GRAPHIA TBK.,5,ASGR, PRESIDENT DIRECTOR ,ASTRA GRAPHIA TBK.
 KING IRIAWAN SUTANTO ,ASTRA GRAPHIA TBK.,5,ASGR, DIRECTOR ,ASTRA GRAPHIA TBK.
 WIDI TRIWIBOWO ,ASTRA GRAPHIA TBK.,5,ASGR, DIRECTOR ,ASTRA GRAPHIA TBK.
 TRIVENA NALSALITA ,ASTRA GRAPHIA TBK.,5,ASGR, DIRECTOR ,ASTRA GRAPHIA TBK.
 WILLIAM SUTIOSO ,CILACAP SAMUDERA FISHING INDUSTRY TBK.,5,ASHA, PRESIDENT DIRECTOR ,CILACAP SAMUDERA FISHING INDUSTRY TBK.
 HENRY SUTIOSO ,CILACAP SAMUDERA FISHING INDUSTRY TBK.,5,ASHA, DIRECTOR ,CILACAP SAMUDERA FISHING INDUSTRY TBK.
 DJONY BUNARTO TJONDRO ,ASTRA INTERNATIONAL TBK.,5,ASII, PRESIDENT DIRECTOR ,ASTRA INTERNATIONAL TBK.
 GIDION HASAN ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 HENRY TANOTO ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 SANTOSA ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 GITA TIFFANI BOER ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 FXL KESUMA ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 HAMDANI DZULKARNAEN SALIM ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 RUDY ,ASTRA INTERNATIONAL TBK.,5,ASII, VICE PRESIDEN DIRECTOR ,ASTRA INTERNATIONAL TBK.
 THOMAS JUNAIDI ALIM. W ,ASTRA INTERNATIONAL TBK.,5,ASII, DIRECTOR ,ASTRA INTERNATIONAL TBK.
 SUGENG SUDIBJO ,ASURANSI JASA TANIA TBK.,5,ASJT, PRESIDENT DIRECTOR ,ASURANSI JASA TANIA TBK.
 ARIFIA INDAH LIANY ,ASURANSI JASA TANIA TBK.,5,ASJT, DIRECTOR ,ASURANSI JASA TANIA TBK.
 HASBI ASHSIDDIQI ,ASURANSI JASA TANIA TBK.,5,ASJT, DIRECTOR ,ASURANSI JASA TANIA TBK.
 JANY CANDRA ,AUTOPEDIA SUKSES LESTARI TBK.,5,ASLC, PRESIDENT DIRECTOR ,AUTOPEDIA SUKSES LESTARI TBK.
 KAZUHIRO SHIOYAMA ,AUTOPEDIA SUKSES LESTARI TBK.,5,ASLC, DIRECTOR ,AUTOPEDIA SUKSES LESTARI TBK.
 ARMEZA FARHANSYAH UMAR ,AUTOPEDIA SUKSES LESTARI TBK.,5,ASLC, DIRECTOR ,AUTOPEDIA SUKSES LESTARI TBK.
 SULISTIONO ,ASRI KARYA LESTARI TBK.,5,ASLI, PRESIDENT DIRECTOR ,ASRI KARYA LESTARI TBK.
 YUDRA SAPUTRA ,ASRI KARYA LESTARI TBK.,5,ASLI, DIRECTOR ,ASRI KARYA LESTARI TBK.
 DIDIK HARIYANTO ,ASRI KARYA LESTARI TBK.,5,ASLI, DIRECTOR ,ASRI KARYA LESTARI TBK.
 JEMMY ATMADJA ,ASURANSI MAXIMUS GRAHA PERSADA TBK.,5,ASMI, PRESIDENT DIRECTOR ,ASURANSI MAXIMUS GRAHA PERSADA TBK.
 NORVIN OSEL ,ASURANSI MAXIMUS GRAHA PERSADA TBK.,5,ASMI, DIRECTOR ,ASURANSI MAXIMUS GRAHA PERSADA TBK.
 LIANNY ,ASURANSI MAXIMUS GRAHA PERSADA TBK.,5,ASMI, DIRECTOR ,ASURANSI MAXIMUS GRAHA PERSADA TBK.
 SUWANDI NOTOPRADONO ,ANDALAN SAKTI PRIMAINDO TBK.,5,ASPI, PRESIDENT DIRECTOR ,ANDALAN SAKTI PRIMAINDO TBK.
 ARNOLDUS JANSEN KUSTIANTO ,ANDALAN SAKTI PRIMAINDO TBK.,5,ASPI, DIRECTOR ,ANDALAN SAKTI PRIMAINDO TBK.
 RICKY WINOTO ,ASIA PRAMULIA TBK.,5,ASPR, PRESIDENT DIRECTOR ,ASIA PRAMULIA TBK.
 ROMANUS MARSTAN ,ASIA PRAMULIA TBK.,5,ASPR, DIRECTOR ,ASIA PRAMULIA TBK.
 ARIF ,ASIA PRAMULIA TBK.,5,ASPR, DIRECTOR ,ASIA PRAMULIA TBK.
 JOSEPH SANUSI TJONG ,ALAM SUTERA REALTY TBK.,5,ASRI, PRESIDENT DIRECTOR ,ALAM SUTERA REALTY TBK.
 LILIA SETIPRAWARTI SUKOTJO ,ALAM SUTERA REALTY TBK.,5,ASRI, DIRECTOR ,ALAM SUTERA REALTY TBK.
 SARI SETYANINGRUM ,ALAM SUTERA REALTY TBK.,5,ASRI, DIRECTOR ,ALAM SUTERA REALTY TBK.
 ANDREW CHARLES WALKER ,ALAM SUTERA REALTY TBK.,5,ASRI, DIRECTOR ,ALAM SUTERA REALTY TBK.
" MAYJEN TNI (PURN) TRI TAMTOMO H.R. DANOERI, S.H. ",ALAM SUTERA REALTY TBK.,5,ASRI, DIRECTOR ,ALAM SUTERA REALTY TBK.
" EMIL SYARIEF HUSEN, S.H. ",ALAM SUTERA REALTY TBK.,5,ASRI, DIRECTOR ,ALAM SUTERA REALTY TBK.
 SYAHRIL ,ASURANSI RAMAYANA TBK.,5,ASRM, PRESIDENT DIRECTOR ,ASURANSI RAMAYANA TBK.
 JIWA ANGGARA ,ASURANSI RAMAYANA TBK.,5,ASRM, VICE PRESIDENT ,ASURANSI RAMAYANA TBK.
 PRISTIWANTO BANI ,ASURANSI RAMAYANA TBK.,5,ASRM, DIRECTOR ,ASURANSI RAMAYANA TBK.
 Y. PARLINDUNGAN MANURUNG ,ASURANSI RAMAYANA TBK.,5,ASRM, DIRECTOR ,ASURANSI RAMAYANA TBK.
 A.M. ANDI PRIMADI ,ASURANSI RAMAYANA TBK.,5,ASRM, DIRECTOR ,ASURANSI RAMAYANA TBK.
 DRS. PRODJO SUNARJANTO SEKAR PANTJAWATI ,ADI SARANA ARMADA TBK.,5,ASSA, PRESIDENT DIRECTOR ,ADI SARANA ARMADA TBK.
 JERRY FANDY TUNJUNGAN ,ADI SARANA ARMADA TBK.,5,ASSA, DIRECTOR ,ADI SARANA ARMADA TBK.
 JANY CANDRA ,ADI SARANA ARMADA TBK.,5,ASSA, DIRECTOR ,ADI SARANA ARMADA TBK.
 TJOENG SUYANTO ,ADI SARANA ARMADA TBK.,5,ASSA, DIRECTOR ,ADI SARANA ARMADA TBK.
 INDRIATI ,TRIMITRA PRAWARA GOLDLAND TBK.,5,ATAP, PRESIDENT DIRECTOR ,TRIMITRA PRAWARA GOLDLAND TBK.
 RACHMAT YAKTIHADI ,TRIMITRA PRAWARA GOLDLAND TBK.,5,ATAP, DIRECTOR ,TRIMITRA PRAWARA GOLDLAND TBK.
 EDO NOVIARDI ,TRIMITRA PRAWARA GOLDLAND TBK.,5,ATAP, DIRECTOR ,TRIMITRA PRAWARA GOLDLAND TBK.
 HIDEAKI OHASHI ,ANABATIC TECHNOLOGIES TBK.,5,ATIC, DIRECTOR ,ANABATIC TECHNOLOGIES TBK.
 RIEKO KAWAGUCHI ,ANABATIC TECHNOLOGIES TBK.,5,ATIC, DIRECTOR ,ANABATIC TECHNOLOGIES TBK.
 HARRY SURJANTO HAMBALI ,ANABATIC TECHNOLOGIES TBK.,5,ATIC, PRESIDENT DIRECTOR ,ANABATIC TECHNOLOGIES TBK.
 LIE DAVID LIMINA ,ANABATIC TECHNOLOGIES TBK.,5,ATIC, DIRECTOR ,ANABATIC TECHNOLOGIES TBK.
 ADRIANSYAH ADNAN ,ANABATIC TECHNOLOGIES TBK.,5,ATIC, DIRECTOR ,ANABATIC TECHNOLOGIES TBK.
 YOPHI KURNIAWAN ISWANTO ,ATLANTIS SUBSEA INDONESIA TBK.,5,ATLA, PRESIDENT DIRECTOR ,ATLANTIS SUBSEA INDONESIA TBK.
" ANDREAS SETIAWAN, S.E. M.B.A ",ATLANTIS SUBSEA INDONESIA TBK.,5,ATLA, DIRECTOR ,ATLANTIS SUBSEA INDONESIA TBK.
 HAMDANI DZULKARNAEN SALIM ,ASTRA OTOPARTS TBK.,5,AUTO, PRESIDENT DIRECTOR ,ASTRA OTOPARTS TBK.
 TUJUH MARTOGI SIAHAAN ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 RONNY KUSGIANTA ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 SOPHIE HANDILI ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 ABUN GUNAWAN ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 PRIHATANTO AGUNG L ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 YUSAK KRISTIAN SOLAEMAN ,ASTRA OTOPARTS TBK.,5,AUTO, VICE PRESIDEN DIRECTOR ,ASTRA OTOPARTS TBK.
 ANDI GUNANTO ,ASTRA OTOPARTS TBK.,5,AUTO, DIRECTOR ,ASTRA OTOPARTS TBK.
 WIJONO TANOKO ,AVIA AVIAN TBK.,5,AVIA, PRESIDENT DIRECTOR ,AVIA AVIAN TBK.
 RUSLAN TANOKO ,AVIA AVIAN TBK.,5,AVIA, VICE PRESIDENT ,AVIA AVIAN TBK.
 ROBERT CHRISTIAN TANOKO ,AVIA AVIAN TBK.,5,AVIA, DIRECTOR ,AVIA AVIAN TBK.
 KURNIA HADI SINANTO ,AVIA AVIAN TBK.,5,AVIA, DIRECTOR ,AVIA AVIAN TBK.
 ANGELICA TANISIA JOZAR ,AVIA AVIAN TBK.,5,AVIA, DIRECTOR ,AVIA AVIAN TBK.
 SHAANEE P HARJANI ,ERA DIGITAL MEDIA TBK.,5,AWAN, PRESIDENT DIRECTOR ,ERA DIGITAL MEDIA TBK.
 SOUNDARARAJAN VENKATACHARI ,ERA DIGITAL MEDIA TBK.,5,AWAN, DIRECTOR ,ERA DIGITAL MEDIA TBK.
 VICKY SUCI CAHYADI ,ERA DIGITAL MEDIA TBK.,5,AWAN, DIRECTOR ,ERA DIGITAL MEDIA TBK.
 MICHAEL SUGIARTO ,TERA DATA INDONUSA TBK.,5,AXIO, PRESIDENT DIRECTOR ,TERA DATA INDONUSA TBK.
 LUHUR BUDIMAN ,TERA DATA INDONUSA TBK.,5,AXIO, DIRECTOR ,TERA DATA INDONUSA TBK.
 ALEX ,TERA DATA INDONUSA TBK.,5,AXIO, DIRECTOR ,TERA DATA INDONUSA TBK.
 DRH. SRI MULYANI ,JANU PUTRA SEJAHTERA TBK.,5,AYAM, PRESIDENT DIRECTOR ,JANU PUTRA SEJAHTERA TBK.
 FADHL MUHAMMAD FIRDAUS ,JANU PUTRA SEJAHTERA TBK.,5,AYAM, DIRECTOR ,JANU PUTRA SEJAHTERA TBK.
 INDRA JAYA DAVID PARDOSI ,AGRO YASA LESTARI TBK.,5,AYLS, PRESIDENT DIRECTOR ,AGRO YASA LESTARI TBK.
 RICKY SASTRA HIDAYAT ,AGRO YASA LESTARI TBK.,5,AYLS, DIRECTOR ,AGRO YASA LESTARI TBK.
 RITA MONTAGNA SIAHAAN ,BANK MNC INTERNASIONAL TBK.,5,BABP, PRESIDENT DIRECTOR ,BANK MNC INTERNASIONAL TBK.
 HERMAWAN ,BANK MNC INTERNASIONAL TBK.,5,BABP, DIRECTOR ,BANK MNC INTERNASIONAL TBK.
 TIOLINA TUMANGGOR ,BANK MNC INTERNASIONAL TBK.,5,BABP, DIRECTOR ,BANK MNC INTERNASIONAL TBK.
 NIRAJ JAIN ,MULTITREND INDO TBK.,5,BABY, PRESIDENT DIRECTOR ,MULTITREND INDO TBK.
 JITIN SINGH KAPOOR ,MULTITREND INDO TBK.,5,BABY, DIRECTOR ,MULTITREND INDO TBK.
 LINA PAULINA ,MULTITREND INDO TBK.,5,BABY, DIRECTOR ,MULTITREND INDO TBK.
 KURNIAWAN HALIM ,BANK CAPITAL INDONESIA TBK.,5,BACA, PRESIDENT DIRECTOR ,BANK CAPITAL INDONESIA TBK.
 YENNY HOO ,BANK CAPITAL INDONESIA TBK.,5,BACA, DIRECTOR ,BANK CAPITAL INDONESIA TBK.
 LIM MIGI TRISNADI ELIAS ,BANK CAPITAL INDONESIA TBK.,5,BACA, DIRECTOR ,BANK CAPITAL INDONESIA TBK.
 HARRI SETIA BUDHI ,BANK CAPITAL INDONESIA TBK.,5,BACA, DIRECTOR ,BANK CAPITAL INDONESIA TBK.
 FEBRIYANTI IKA SARI ,BANK CAPITAL INDONESIA TBK.,5,BACA, DIRECTOR ,BANK CAPITAL INDONESIA TBK.
 NANANG SUHERMAN ,BERSAMA MENCAPAI PUNCAK TBK.,5,BAIK, PRESIDENT DIRECTOR ,BERSAMA MENCAPAI PUNCAK TBK.
 AFANIN NUR RAUDHAH ,BERSAMA MENCAPAI PUNCAK TBK.,5,BAIK, DIRECTOR ,BERSAMA MENCAPAI PUNCAK TBK.
 UBAIDILLAH ,BERSAMA MENCAPAI PUNCAK TBK.,5,BAIK, DIRECTOR ,BERSAMA MENCAPAI PUNCAK TBK.
 HANDAJA SUSANTO ,SARANACENTRAL BAJATAMA TBK.,5,BAJA, PRESIDENT DIRECTOR ,SARANACENTRAL BAJATAMA TBK.
 PANDJI SURYA SOERJOPRAHONO ,SARANACENTRAL BAJATAMA TBK.,5,BAJA, DIRECTOR ,SARANACENTRAL BAJATAMA TBK.
 ENTARIO WIDJAJA SUSANTO ,SARANACENTRAL BAJATAMA TBK.,5,BAJA, DIRECTOR ,SARANACENTRAL BAJATAMA TBK.
 JONATAN SUWANDI JUSUF ,SARANACENTRAL BAJATAMA TBK.,5,BAJA, DIRECTOR ,SARANACENTRAL BAJATAMA TBK.
 JAP OWEN RONADHI ,BALI TOWERINDO SENTRA TBK.,5,BALI, PRESIDENT DIRECTOR ,BALI TOWERINDO SENTRA TBK.
 LILY HIDAYAT ,BALI TOWERINDO SENTRA TBK.,5,BALI, VICE PRESIDENT ,BALI TOWERINDO SENTRA TBK.
 ROBBY HERMANTO ,BALI TOWERINDO SENTRA TBK.,5,BALI, DIRECTOR ,BALI TOWERINDO SENTRA TBK.
 BAIQ NADEA DZURRIATIN ,BANK ALADIN SYARIAH TBK.,5,BANK, DIRECTOR ,BANK ALADIN SYARIAH TBK.
 KOKO TJATUR RACHMADI ,BANK ALADIN SYARIAH TBK.,5,BANK, PRESIDENT DIRECTOR ,BANK ALADIN SYARIAH TBK.
 ARIEF SATRIO PUTRA ,BANK ALADIN SYARIAH TBK.,5,BANK, DIRECTOR ,BANK ALADIN SYARIAH TBK.
" JO, ANULA PUTRA ",BANK ALADIN SYARIAH TBK.,5,BANK, DIRECTOR ,BANK ALADIN SYARIAH TBK.
 HIDAYAT RATMAN ,BHAKTI AGUNG PROPERTINDO TBK.,5,BAPI, DIRECTOR ,BHAKTI AGUNG PROPERTINDO TBK.
 AHMAD SURAHMAN ,BHAKTI AGUNG PROPERTINDO TBK.,5,BAPI, PRESIDENT DIRECTOR ,BHAKTI AGUNG PROPERTINDO TBK.
 SUSAN HADIYANI ,BHAKTI AGUNG PROPERTINDO TBK.,5,BAPI, DIRECTOR ,BHAKTI AGUNG PROPERTINDO TBK.
 HATTA TUTUKO ,SEPATU BATA TBK.,5,BATA, DIRECTOR ,SEPATU BATA TBK.
 AHMAD DANIAL ,SEPATU BATA TBK.,5,BATA, DIRECTOR ,SEPATU BATA TBK.
 PRIMA ANDHIKA IRAWATI ,SEPATU BATA TBK.,5,BATA, DIRECTOR ,SEPATU BATA TBK.
 IAN DUNCAN MCNAB COWE ,SEPATU BATA TBK.,5,BATA, DIRECTOR ,SEPATU BATA TBK.
 AMITAV NANDY ,SEPATU BATA TBK.,5,BATA, PRESIDENT DIRECTOR ,SEPATU BATA TBK.
 RIDWAN ,BENTENG API TECHNIC TBK.,5,BATR, PRESIDENT DIRECTOR ,BENTENG API TECHNIC TBK.
 ASWIN ASMANTONO ,BENTENG API TECHNIC TBK.,5,BATR, DIRECTOR ,BENTENG API TECHNIC TBK.
 AGUS HARI PRAMUDIANTO ,BENTENG API TECHNIC TBK.,5,BATR, DIRECTOR ,BENTENG API TECHNIC TBK.
 FOONG TAK HOY ,MITRA ANGKASA SEJAHTERA TBK.,5,BAUT, PRESIDENT DIRECTOR ,MITRA ANGKASA SEJAHTERA TBK.
 SIMON HENDIAWAN ,MITRA ANGKASA SEJAHTERA TBK.,5,BAUT, DIRECTOR ,MITRA ANGKASA SEJAHTERA TBK.
 AGUSTINUS KASJAYA PAKE SEKO ,BAYU BUANA TBK,5,BAYU, PRESIDENT DIRECTOR ,BAYU BUANA TBK
 HARDY KARUNIAWAN ,BAYU BUANA TBK,5,BAYU, DIRECTOR ,BAYU BUANA TBK
 KUSUWANDI TAMIN ,BAYU BUANA TBK,5,BAYU, DIRECTOR ,BAYU BUANA TBK
 GREGORY HENDRA LEMBONG ,BANK CENTRAL ASIA TBK.,5,BBCA, PRESIDENT DIRECTOR ,BANK CENTRAL ASIA TBK.
 ARMAND WAHYUDI HARTONO ,BANK CENTRAL ASIA TBK.,5,BBCA, VICE PRESIDEN DIRECTOR ,BANK CENTRAL ASIA TBK.
 JOHN KOSASIH ,BANK CENTRAL ASIA TBK.,5,BBCA, VICE PRESIDEN DIRECTOR ,BANK CENTRAL ASIA TBK.
 TAN HO HIEN/SUBUR ATAU DIPANGGIL SUBUR TAN ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 RUDY SUSANTO ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 LIANAWATY SUWONO ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 SANTOSO ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 VERA EVE LIM ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 HARYANTO TIARA BUDIMAN ,BANK CENTRAL ASIA TBK.,5,BBCA, DIRECTOR ,BANK CENTRAL ASIA TBK.
 ARI YANUANTO ASAH ,ALLO BANK INDONESIA TBK.,5,BBHI, DIRECTOR ,ALLO BANK INDONESIA TBK.
 GANDA SAPUTRA RUSLI ,ALLO BANK INDONESIA TBK.,5,BBHI, DIRECTOR ,ALLO BANK INDONESIA TBK.
